
40,72,77,7.485996067,16.98861173,17.02498456,Soyabeans
23,72,84,6.920251378,17.13159126,19.02061277,Soyabeans
39,58,85,5.996932037,15.40589717,17.88776475,Soyabeans
22,72,85,6.391173589,15.65809214,18.86805647,Soyabeans
36,67,77,7.152811172,19.56381041,18.36952567,Soyabeans
32,73,81,5.988992796,15.40312102,20.45078582,Soyabeans
58,70,84,6.231049028,16.60820843,20.6543203,Soyabeans
59,70,84,7.550808267,18.74926979,17.3348681,Soyabeans
42,62,75,7.010570541,18.90426935,18.17912258,Soyabeans
28,74,81,8.753795334,18.30968112,18.01272266,Soyabeans
58,66,79,8.718192847,19.33470387,20.99373558,Soyabeans
43,66,79,7.976607593,15.22538951,19.46233971,Soyabeans
58,63,81,6.515499549,14.69765308,19.81344531,Soyabeans
23,62,85,8.490127142,19.5161216,18.97424756,Soyabeans
27,62,77,6.576415562,14.71070537,18.19737048,Soyabeans
28,72,84,6.481783043,19.18197264,18.72963144,Soyabeans
50,56,76,7.966605025,19.8601304,20.99502153,Soyabeans
39,71,84,8.140825437,16.39535215,20.28155898,Soyabeans
25,78,76,7.228963452,15.7559405,17.48042641,Soyabeans
31,70,77,6.492546046,14.32313811,20.88818675,Soyabeans
26,80,83,7.528599957,16.14565756,17.08498521,Soyabeans
25,68,77,7.701446446,15.11279612,20.09340593,Soyabeans
31,78,76,8.519975748,14.99927489,17.57212145,Soyabeans
60,68,83,6.620900869,18.43475844,19.12065218,Soyabeans
59,62,83,8.104396058,19.22008229,18.57665902,Soyabeans
22,67,78,6.204090835,14.42457525,17.16606398,Soyabeans
36,65,80,6.051091339,16.67921616,18.2872007,Soyabeans
59,60,84,7.690962338,18.66725565,19.03025305,Soyabeans
54,77,85,7.829211144,17.0662427,17.1418614,Soyabeans
43,68,81,6.761599706,17.93253975,17.47809436,Soyabeans
28,76,82,6.654425315,14.25803981,20.56601874,Soyabeans
42,79,85,6.129533877,15.82069268,17.22385224,Soyabeans
32,60,83,8.829273328,19.44225438,19.69141713,Soyabeans
22,78,76,8.621662982,19.09172907,17.84851658,Soyabeans
31,79,75,8.204862075,16.1074793,18.8202251,Soyabeans
28,58,81,6.18042747,16.54314829,17.47500984,Soyabeans
57,58,77,7.978996755,17.58406365,18.72649425,Soyabeans
